id_county,name_county,age_group,gender,positive_tests,population,total_population_county
8231,SK Pforzheim,A60-A79,Male,36,10592,114411
8231,SK Pforzheim,A60-A79,Female,43,13344,114411
8231,SK Pforzheim,A80+,Male,17,2179,114411
8231,SK Pforzheim,A80+,Female,40,4713,114411
8235,LK Calw,A00-A04,Male,1,3146,151049
8235,LK Calw,A00-A04,Female,7,3043,151049
8235,LK Calw,A05-A14,Male,11,8473,151049
8235,LK Calw,A05-A14,Female,14,8010,151049
8235,LK Calw,A15-A34,Male,68,17479,151049
8235,LK Calw,A15-A34,Female,66,16303,151049
8235,LK Calw,A35-A59,Male,69,28033,151049
8235,LK Calw,A35-A59,Female,79,28277,151049
8235,LK Calw,A60-A79,Male,24,14748,151049
8235,LK Calw,A60-A79,Female,26,16046,151049
8235,LK Calw,A80+,Male,19,2495,151049
8235,LK Calw,A80+,Female,20,4996,151049
8236,LK Enzkreis,A00-A04,Male,3,3980,191353
8236,LK Enzkreis,A00-A04,Female,4,3658,191353
8236,LK Enzkreis,A05-A14,Male,14,10517,191353
8236,LK Enzkreis,A05-A14,Female,12,9993,191353
8236,LK Enzkreis,A15-A34,Male,97,21443,191353
8236,LK Enzkreis,A15-A34,Female,97,20284,191353
8236,LK Enzkreis,A35-A59,Male,112,36126,191353
8236,LK Enzkreis,A35-A59,Female,132,36381,191353
8236,LK Enzkreis,A60-A79,Male,58,18730,191353
8236,LK Enzkreis,A60-A79,Female,56,20788,191353
8236,LK Enzkreis,A80+,Male,20,3128,191353
8236,LK Enzkreis,A80+,Female,7,6325,191353
8237,LK Freudenstadt,A00-A04,Male,1,2513,115973
8237,LK Freudenstadt,A00-A04,Female,2,2320,115973
8237,LK Freudenstadt,A05-A14,Male,12,6443,115973
8237,LK Freudenstadt,A05-A14,Female,2,6036,115973
8237,LK Freudenstadt,A15-A34,Male,36,13697,115973
8237,LK Freudenstadt,A15-A34,Female,43,13095,115973
8237,LK Freudenstadt,A35-A59,Male,40,21614,115973
8237,LK Freudenstadt,A35-A59,Female,61,21548,115973
8237,LK Freudenstadt,A60-A79,Male,23,10766,115973
8237,LK Freudenstadt,A60-A79,Female,14,12121,115973
8237,LK Freudenstadt,A80+,Male,5,1875,115973
8237,LK Freudenstadt,A80+,Female,10,3945,115973
8311,SK Freiburg i.Breisgau,A00-A04,Male,5,4883,209629
8311,SK Freiburg i.Breisgau,A00-A04,Female,3,4966,209629
8311,SK Freiburg i.Breisgau,A05-A14,Male,8,9267,209629
8311,SK Freiburg i.Breisgau,A05-A14,Female,8,8871,209629
8311,SK Freiburg i.Breisgau,A15-A34,Male,83,31637,209629
8311,SK Freiburg i.Breisgau,A15-A34,Female,77,35792,209629
8311,SK Freiburg i.Breisgau,A35-A59,Male,65,34720,209629
8311,SK Freiburg i.Breisgau,A35-A59,Female,51,35263,209629
8311,SK Freiburg i.Breisgau,A60-A79,Male,22,15029,209629
8311,SK Freiburg i.Breisgau,A60-A79,Female,20,19016,209629
8311,SK Freiburg i.Breisgau,A80+,Male,1,3169,209629
8311,SK Freiburg i.Breisgau,A80+,Female,3,7016,209629
8315,LK Breisgau-Hochschwarzwald,A00-A04,Male,7,5579,247279
8315,LK Breisgau-Hochschwarzwald,A00-A04,Female,5,5249,247279
8315,LK Breisgau-Hochschwarzwald,A05-A14,Male,11,13403,247279
8315,LK Breisgau-Hochschwarzwald,A05-A14,Female,10,12402,247279
8315,LK Breisgau-Hochschwarzwald,A15-A34,Male,90,27179,247279
8315,LK Breisgau-Hochschwarzwald,A15-A34,Female,67,27078,247279
8315,LK Breisgau-Hochschwarzwald,A35-A59,Male,102,45118,247279
8315,LK Breisgau-Hochschwarzwald,A35-A59,Female,88,47293,247279
8315,LK Breisgau-Hochschwarzwald,A60-A79,Male,25,24314,247279
8315,LK Breisgau-Hochschwarzwald,A60-A79,Female,28,26883,247279
8315,LK Breisgau-Hochschwarzwald,A80+,Male,8,4485,247279
8315,LK Breisgau-Hochschwarzwald,A80+,Female,14,8296,247279
8316,LK Emmendingen,A00-A04,Male,7,3509,156453
8316,LK Emmendingen,A00-A04,Female,3,3268,156453
8316,LK Emmendingen,A05-A14,Male,16,8539,156453
8316,LK Emmendingen,A05-A14,Female,15,7992,156453
8316,LK Emmendingen,A15-A34,Male,56,17619,156453
8316,LK Emmendingen,A15-A34,Female,63,16933,156453
8316,LK Emmendingen,A35-A59,Male,64,29683,156453
8316,LK Emmendingen,A35-A59,Female,81,30037,156453
8316,LK Emmendingen,A60-A79,Male,35,14770,156453
8316,LK Emmendingen,A60-A79,Female,29,16546,156453
8316,LK Emmendingen,A80+,Male,16,2521,156453
8316,LK Emmendingen,A80+,Female,24,5036,156453
8317,LK Ortenaukreis,A00-A04,Male,12,9043,410202
8317,LK Ortenaukreis,A00-A04,Female,8,8811,410202
8317,LK Ortenaukreis,A05-A14,Male,25,22137,410202
8317,LK Ortenaukreis,A05-A14,Female,22,20489,410202
8317,LK Ortenaukreis,A15-A34,Male,197,47663,410202
8317,LK Ortenaukreis,A15-A34,Female,136,45816,410202
8317,LK Ortenaukreis,A35-A59,Male,214,76993,410202
8317,LK Ortenaukreis,A35-A59,Female,229,75984,410202
8317,LK Ortenaukreis,A60-A79,Male,88,38253,410202
8317,LK Ortenaukreis,A60-A79,Female,89,42811,410202
8317,LK Ortenaukreis,A80+,Male,22,7219,410202
8317,LK Ortenaukreis,A80+,Female,43,14983,410202
8325,LK Rottweil,A00-A04,Male,4,3076,136478
8325,LK Rottweil,A00-A04,Female,7,2819,136478
8325,LK Rottweil,A05-A14,Male,4,7452,136478
8325,LK Rottweil,A05-A14,Female,10,7239,136478
8325,LK Rottweil,A15-A34,Male,70,15779,136478
8325,LK Rottweil,A15-A34,Female,85,15049,136478
8325,LK Rottweil,A35-A59,Male,81,25217,136478
8325,LK Rottweil,A35-A59,Female,83,24578,136478
8325,LK Rottweil,A60-A79,Male,36,13344,136478
8325,LK Rottweil,A60-A79,Female,42,14823,136478
8325,LK Rottweil,A80+,Male,7,2350,136478
8325,LK Rottweil,A80+,Female,6,4752,136478
8326,LK Schwarzwald-Baar-Kreis,A00-A04,Male,2,4236,203967
8326,LK Schwarzwald-Baar-Kreis,A00-A04,Female,4,4204,203967
8326,LK Schwarzwald-Baar-Kreis,A05-A14,Male,11,10324,203967
8326,LK Schwarzwald-Baar-Kreis,A05-A14,Female,12,9818,203967
8326,LK Schwarzwald-Baar-Kreis,A15-A34,Male,69,23973,203967
8326,LK Schwarzwald-Baar-Kreis,A15-A34,Female,82,22751,203967
8326,LK Schwarzwald-Baar-Kreis,A35-A59,Male,70,36253,203967
8326,LK Schwarzwald-Baar-Kreis,A35-A59,Female,104,36746,203967
8326,LK Schwarzwald-Baar-Kreis,A60-A79,Male,38,20743,203967
8326,LK Schwarzwald-Baar-Kreis,A60-A79,Female,47,23250,203967
8326,LK Schwarzwald-Baar-Kreis,A80+,Male,16,4039,203967
8326,LK Schwarzwald-Baar-Kreis,A80+,Female,31,7630,203967
8327,LK Tuttlingen,A00-A04,Male,1,3051,132213
8327,LK Tuttlingen,A00-A04,Female,1,3001,132213
8327,LK Tuttlingen,A05-A14,Male,13,7528,132213
8327,LK Tuttlingen,A05-A14,Female,11,7007,132213
8327,LK Tuttlingen,A15-A34,Male,52,16041,132213
8327,LK Tuttlingen,A15-A34,Female,49,15319,132213
8327,LK Tuttlingen,A35-A59,Male,58,24089,132213
8327,LK Tuttlingen,A35-A59,Female,60,23564,132213
8327,LK Tuttlingen,A60-A79,Male,13,12339,132213
8327,LK Tuttlingen,A60-A79,Female,24,13604,132213
8327,LK Tuttlingen,A80+,Male,7,2330,132213
8327,LK Tuttlingen,A80+,Female,26,4340,132213
8335,LK Konstanz,A00-A04,Male,5,5715,266965
8335,LK Konstanz,A00-A04,Female,7,5531,266965
8335,LK Konstanz,A05-A14,Male,7,13167,266965
8335,LK Konstanz,A05-A14,Female,8,12892,266965
8335,LK Konstanz,A15-A34,Male,106,32073,266965
8335,LK Konstanz,A15-A34,Female,87,32529,266965
8335,LK Konstanz,A35-A59,Male,109,46861,266965
8335,LK Konstanz,A35-A59,Female,110,48833,266965
8335,LK Konstanz,A60-A79,Male,40,25899,266965
8335,LK Konstanz,A60-A79,Female,49,29164,266965
8335,LK Konstanz,A80+,Male,17,4758,266965
8335,LK Konstanz,A80+,Female,25,9543,266965
8336,LK Lörrach,A00-A04,Male,13,4804,219003
8336,LK Lörrach,A00-A04,Female,6,4692,219003
8336,LK Lörrach,A05-A14,Male,12,11616,219003
8336,LK Lörrach,A05-A14,Female,19,11223,219003
8336,LK Lörrach,A15-A34,Male,135,24776,219003
8336,LK Lörrach,A15-A34,Female,166,24485,219003
8336,LK Lörrach,A35-A59,Male,164,40897,219003
8336,LK Lörrach,A35-A59,Female,201,41747,219003
8336,LK Lörrach,A60-A79,Male,76,20667,219003
8336,LK Lörrach,A60-A79,Female,67,23206,219003
8336,LK Lörrach,A80+,Male,11,3790,219003
8336,LK Lörrach,A80+,Female,15,7100,219003
8337,LK Waldshut,A00-A04,Female,3,3510,163136
8337,LK Waldshut,A05-A14,Male,12,9080,163136
8337,LK Waldshut,A05-A14,Female,18,8510,163136
8337,LK Waldshut,A15-A34,Male,74,18552,163136
8337,LK Waldshut,A15-A34,Female,80,18071,163136
8337,LK Waldshut,A35-A59,Male,85,29661,163136
8337,LK Waldshut,A35-A59,Female,92,29980,163136
8337,LK Waldshut,A60-A79,Male,31,15892,163136
8337,LK Waldshut,A60-A79,Female,34,17329,163136
8337,LK Waldshut,A80+,Male,10,2998,163136
8337,LK Waldshut,A80+,Female,14,5795,163136
8415,LK Reutlingen,A00-A04,Male,3,5912,273353
8415,LK Reutlingen,A00-A04,Female,4,5800,273353
8415,LK Reutlingen,A05-A14,Male,20,14585,273353
8415,LK Reutlingen,A05-A14,Female,15,13655,273353
8415,LK Reutlingen,A15-A34,Male,148,31897,273353
8415,LK Reutlingen,A15-A34,Female,127,31272,273353
8415,LK Reutlingen,A35-A59,Male,150,50380,273353
8415,LK Reutlingen,A35-A59,Female,161,50712,273353
8415,LK Reutlingen,A60-A79,Male,58,25953,273353
8415,LK Reutlingen,A60-A79,Female,49,29308,273353
8415,LK Reutlingen,A80+,Male,13,4659,273353
8415,LK Reutlingen,A80+,Female,22,9220,273353
8416,LK Tübingen,A00-A04,Male,1,4719,211952
8416,LK Tübingen,A00-A04,Female,7,4675,211952
8416,LK Tübingen,A05-A14,Male,25,11133,211952
8416,LK Tübingen,A05-A14,Female,12,10440,211952
8416,LK Tübingen,A15-A34,Male,78,29851,211952
8416,LK Tübingen,A15-A34,Female,84,31633,211952
8416,LK Tübingen,A35-A59,Male,70,37431,211952
8416,LK Tübingen,A35-A59,Female,73,38191,211952
8416,LK Tübingen,A60-A79,Male,43,16792,211952
8416,LK Tübingen,A60-A79,Female,39,18483,211952
8416,LK Tübingen,A80+,Male,9,2753,211952
8416,LK Tübingen,A80+,Female,18,5851,211952
8417,LK Zollernalbkreis,A00-A04,Female,4,3659,185559
8417,LK Zollernalbkreis,A05-A14,Male,15,9425,185559
8417,LK Zollernalbkreis,A05-A14,Female,9,8900,185559
8417,LK Zollernalbkreis,A15-A34,Male,76,21433,185559
8417,LK Zollernalbkreis,A15-A34,Female,56,20200,185559
8417,LK Zollernalbkreis,A35-A59,Male,71,34528,185559
8417,LK Zollernalbkreis,A35-A59,Female,68,34295,185559
8417,LK Zollernalbkreis,A60-A79,Male,31,18414,185559
8417,LK Zollernalbkreis,A60-A79,Female,25,20706,185559
8417,LK Zollernalbkreis,A80+,Male,6,3371,185559
8417,LK Zollernalbkreis,A80+,Female,10,6881,185559
8421,SK Ulm,A00-A04,Male,2,2845,116761
8421,SK Ulm,A00-A04,Female,7,2444,116761
8421,SK Ulm,A05-A14,Male,4,5313,116761
8421,SK Ulm,A05-A14,Female,7,5164,116761
8421,SK Ulm,A15-A34,Male,74,16622,116761
8421,SK Ulm,A15-A34,Female,72,16656,116761
8421,SK Ulm,A35-A59,Male,77,19863,116761
8421,SK Ulm,A35-A59,Female,78,19905,116761
8421,SK Ulm,A60-A79,Male,20,10380,116761
8421,SK Ulm,A60-A79,Female,25,11628,116761
8421,SK Ulm,A80+,Male,14,1925,116761
8421,SK Ulm,A80+,Female,23,4016,116761
8425,LK Alb-Donau-Kreis,A00-A04,Male,1,4413,186192
8425,LK Alb-Donau-Kreis,A00-A04,Female,4,4005,186192
8425,LK Alb-Donau-Kreis,A05-A14,Male,14,10826,186192
8425,LK Alb-Donau-Kreis,A05-A14,Female,8,10300,186192
8425,LK Alb-Donau-Kreis,A15-A34,Male,69,22452,186192
8425,LK Alb-Donau-Kreis,A15-A34,Female,61,21166,186192
8425,LK Alb-Donau-Kreis,A35-A59,Male,95,35080,186192
8425,LK Alb-Donau-Kreis,A35-A59,Female,96,34163,186192
8425,LK Alb-Donau-Kreis,A60-A79,Male,27,16765,186192
8425,LK Alb-Donau-Kreis,A60-A79,Female,34,18135,186192
8425,LK Alb-Donau-Kreis,A80+,Male,17,3076,186192
8425,LK Alb-Donau-Kreis,A80+,Female,42,5811,186192
8426,LK Biberach,A00-A04,Female,1,4252,187444
8426,LK Biberach,A05-A14,Male,3,10677,187444
8426,LK Biberach,A05-A14,Female,2,10433,187444
8426,LK Biberach,A15-A34,Male,42,23202,187444
8426,LK Biberach,A15-A34,Female,43,21832,187444
8426,LK Biberach,A35-A59,Male,42,35120,187444
8426,LK Biberach,A35-A59,Female,50,34460,187444
8426,LK Biberach,A60-A79,Male,12,16616,187444
8426,LK Biberach,A60-A79,Female,17,17611,187444
8426,LK Biberach,A80+,Male,6,2912,187444
8426,LK Biberach,A80+,Female,4,5786,187444
8435,LK Bodenseekreis,A00-A04,Female,1,4168,204083
8435,LK Bodenseekreis,A05-A14,Male,13,10501,204083
8435,LK Bodenseekreis,A05-A14,Female,7,9957,204083
8435,LK Bodenseekreis,A15-A34,Male,59,23107,204083
8435,LK Bodenseekreis,A15-A34,Female,69,22599,204083
8435,LK Bodenseekreis,A35-A59,Male,78,36848,204083
8435,LK Bodenseekreis,A35-A59,Female,71,37592,204083
8435,LK Bodenseekreis,A60-A79,Male,17,21365,204083
8435,LK Bodenseekreis,A60-A79,Female,29,23257,204083
8435,LK Bodenseekreis,A80+,Male,4,3569,204083
8435,LK Bodenseekreis,A80+,Female,1,6799,204083
8436,LK Ravensburg,A00-A04,Male,3,6134,269595
8436,LK Ravensburg,A00-A04,Female,1,5981,269595
8436,LK Ravensburg,A05-A14,Male,9,15169,269595
8436,LK Ravensburg,A05-A14,Female,7,14511,269595
8436,LK Ravensburg,A15-A34,Male,78,32675,269595
8436,LK Ravensburg,A15-A34,Female,72,31456,269595
8436,LK Ravensburg,A35-A59,Male,84,49152,269595
8436,LK Ravensburg,A35-A59,Female,88,49460,269595
8436,LK Ravensburg,A60-A79,Male,26,24838,269595
8436,LK Ravensburg,A60-A79,Female,23,27017,269595
8436,LK Ravensburg,A80+,Male,15,4335,269595
8436,LK Ravensburg,A80+,Female,29,8867,269595
8437,LK Sigmaringen,A00-A04,Male,4,2783,127600
8437,LK Sigmaringen,A00-A04,Female,2,2636,127600
8437,LK Sigmaringen,A05-A14,Female,1,6893,127600
8437,LK Sigmaringen,A15-A34,Male,33,15547,127600
8437,LK Sigmaringen,A15-A34,Female,32,14483,127600
8437,LK Sigmaringen,A35-A59,Male,23,23706,127600
8437,LK Sigmaringen,A35-A59,Female,27,23354,127600
8437,LK Sigmaringen,A60-A79,Male,11,11682,127600
8437,LK Sigmaringen,A60-A79,Female,15,12972,127600
8437,LK Sigmaringen,A80+,Male,5,2124,127600
8437,LK Sigmaringen,A80+,Female,2,4182,127600
