id_county,name_county,age_group,gender,positive_tests
8231,SK Pforzheim,A35-A59,unbekannt,2
8231,SK Pforzheim,A60-A79,Male,36
8231,SK Pforzheim,A60-A79,Female,43
8231,SK Pforzheim,A60-A79,unbekannt,1
8231,SK Pforzheim,A80+,Male,17
8231,SK Pforzheim,A80+,Female,40
8231,SK Pforzheim,unbekannt,Male,1
8231,SK Pforzheim,unbekannt,Female,3
8231,SK Pforzheim,unbekannt,unbekannt,9
8235,LK Calw,A00-A04,Male,1
8235,LK Calw,A00-A04,Female,7
8235,LK Calw,A05-A14,Male,11
8235,LK Calw,A05-A14,Female,14
8235,LK Calw,A15-A34,Male,68
8235,LK Calw,A15-A34,Female,66
8235,LK Calw,A35-A59,Male,69
8235,LK Calw,A35-A59,Female,79
8235,LK Calw,A60-A79,Male,24
8235,LK Calw,A60-A79,Female,26
8235,LK Calw,A80+,Male,19
8235,LK Calw,A80+,Female,20
8235,LK Calw,unbekannt,Female,1
8235,LK Calw,unbekannt,unbekannt,3
8236,LK Enzkreis,A00-A04,Male,3
8236,LK Enzkreis,A00-A04,Female,4
8236,LK Enzkreis,A05-A14,Male,14
8236,LK Enzkreis,A05-A14,Female,12
8236,LK Enzkreis,A15-A34,Male,97
8236,LK Enzkreis,A15-A34,Female,97
8236,LK Enzkreis,A35-A59,Male,112
8236,LK Enzkreis,A35-A59,Female,132
8236,LK Enzkreis,A35-A59,unbekannt,1
8236,LK Enzkreis,A60-A79,Male,58
8236,LK Enzkreis,A60-A79,Female,56
8236,LK Enzkreis,A80+,Male,20
8236,LK Enzkreis,A80+,Female,7
8236,LK Enzkreis,unbekannt,Male,6
8236,LK Enzkreis,unbekannt,Female,2
8236,LK Enzkreis,unbekannt,unbekannt,3
8237,LK Freudenstadt,A00-A04,Male,1
8237,LK Freudenstadt,A00-A04,Female,2
8237,LK Freudenstadt,A05-A14,Male,12
8237,LK Freudenstadt,A05-A14,Female,2
8237,LK Freudenstadt,A15-A34,Male,36
8237,LK Freudenstadt,A15-A34,Female,43
8237,LK Freudenstadt,A35-A59,Male,40
8237,LK Freudenstadt,A35-A59,Female,61
8237,LK Freudenstadt,A60-A79,Male,23
8237,LK Freudenstadt,A60-A79,Female,14
8237,LK Freudenstadt,A80+,Male,5
8237,LK Freudenstadt,A80+,Female,10
8311,SK Freiburg i.Breisgau,A00-A04,Male,5
8311,SK Freiburg i.Breisgau,A00-A04,Female,3
8311,SK Freiburg i.Breisgau,A05-A14,Male,8
8311,SK Freiburg i.Breisgau,A05-A14,Female,8
8311,SK Freiburg i.Breisgau,A15-A34,Male,83
8311,SK Freiburg i.Breisgau,A15-A34,Female,77
8311,SK Freiburg i.Breisgau,A15-A34,unbekannt,1
8311,SK Freiburg i.Breisgau,A35-A59,Male,65
8311,SK Freiburg i.Breisgau,A35-A59,Female,51
8311,SK Freiburg i.Breisgau,A35-A59,unbekannt,1
8311,SK Freiburg i.Breisgau,A60-A79,Male,22
8311,SK Freiburg i.Breisgau,A60-A79,Female,20
8311,SK Freiburg i.Breisgau,A80+,Male,1
8311,SK Freiburg i.Breisgau,A80+,Female,3
8315,LK Breisgau-Hochschwarzwald,A00-A04,Male,7
8315,LK Breisgau-Hochschwarzwald,A00-A04,Female,5
8315,LK Breisgau-Hochschwarzwald,A05-A14,Male,11
8315,LK Breisgau-Hochschwarzwald,A05-A14,Female,10
8315,LK Breisgau-Hochschwarzwald,A15-A34,Male,90
8315,LK Breisgau-Hochschwarzwald,A15-A34,Female,67
8315,LK Breisgau-Hochschwarzwald,A35-A59,Male,102
8315,LK Breisgau-Hochschwarzwald,A35-A59,Female,88
8315,LK Breisgau-Hochschwarzwald,A35-A59,unbekannt,1
8315,LK Breisgau-Hochschwarzwald,A60-A79,Male,25
8315,LK Breisgau-Hochschwarzwald,A60-A79,Female,28
8315,LK Breisgau-Hochschwarzwald,A80+,Male,8
8315,LK Breisgau-Hochschwarzwald,A80+,Female,14
8316,LK Emmendingen,A00-A04,Male,7
8316,LK Emmendingen,A00-A04,Female,3
8316,LK Emmendingen,A05-A14,Male,16
8316,LK Emmendingen,A05-A14,Female,15
8316,LK Emmendingen,A15-A34,Male,56
8316,LK Emmendingen,A15-A34,Female,63
8316,LK Emmendingen,A35-A59,Male,64
8316,LK Emmendingen,A35-A59,Female,81
8316,LK Emmendingen,A35-A59,unbekannt,1
8316,LK Emmendingen,A60-A79,Male,35
8316,LK Emmendingen,A60-A79,Female,29
8316,LK Emmendingen,A80+,Male,16
8316,LK Emmendingen,A80+,Female,24
8316,LK Emmendingen,unbekannt,Male,1
8316,LK Emmendingen,unbekannt,Female,1
8317,LK Ortenaukreis,A00-A04,Male,12
8317,LK Ortenaukreis,A00-A04,Female,8
8317,LK Ortenaukreis,A00-A04,unbekannt,1
8317,LK Ortenaukreis,A05-A14,Male,25
8317,LK Ortenaukreis,A05-A14,Female,22
8317,LK Ortenaukreis,A15-A34,Male,197
8317,LK Ortenaukreis,A15-A34,Female,136
8317,LK Ortenaukreis,A15-A34,unbekannt,12
8317,LK Ortenaukreis,A35-A59,Male,214
8317,LK Ortenaukreis,A35-A59,Female,229
8317,LK Ortenaukreis,A35-A59,unbekannt,6
8317,LK Ortenaukreis,A60-A79,Male,88
8317,LK Ortenaukreis,A60-A79,Female,89
8317,LK Ortenaukreis,A60-A79,unbekannt,2
8317,LK Ortenaukreis,A80+,Male,22
8317,LK Ortenaukreis,A80+,Female,43
8325,LK Rottweil,A00-A04,Male,4
8325,LK Rottweil,A00-A04,Female,7
8325,LK Rottweil,A05-A14,Male,4
8325,LK Rottweil,A05-A14,Female,10
8325,LK Rottweil,A05-A14,unbekannt,1
8325,LK Rottweil,A15-A34,Male,70
8325,LK Rottweil,A15-A34,Female,85
8325,LK Rottweil,A15-A34,unbekannt,1
8325,LK Rottweil,A35-A59,Male,81
8325,LK Rottweil,A35-A59,Female,83
8325,LK Rottweil,A60-A79,Male,36
8325,LK Rottweil,A60-A79,Female,42
8325,LK Rottweil,A80+,Male,7
8325,LK Rottweil,A80+,Female,6
8325,LK Rottweil,unbekannt,Male,2
8325,LK Rottweil,unbekannt,Female,4
8325,LK Rottweil,unbekannt,unbekannt,1
8326,LK Schwarzwald-Baar-Kreis,A00-A04,Male,2
8326,LK Schwarzwald-Baar-Kreis,A00-A04,Female,4
8326,LK Schwarzwald-Baar-Kreis,A05-A14,Male,11
8326,LK Schwarzwald-Baar-Kreis,A05-A14,Female,12
8326,LK Schwarzwald-Baar-Kreis,A15-A34,Male,69
8326,LK Schwarzwald-Baar-Kreis,A15-A34,Female,82
8326,LK Schwarzwald-Baar-Kreis,A35-A59,Male,70
8326,LK Schwarzwald-Baar-Kreis,A35-A59,Female,104
8326,LK Schwarzwald-Baar-Kreis,A60-A79,Male,38
8326,LK Schwarzwald-Baar-Kreis,A60-A79,Female,47
8326,LK Schwarzwald-Baar-Kreis,A80+,Male,16
8326,LK Schwarzwald-Baar-Kreis,A80+,Female,31
8327,LK Tuttlingen,A00-A04,Male,1
8327,LK Tuttlingen,A00-A04,Female,1
8327,LK Tuttlingen,A05-A14,Male,13
8327,LK Tuttlingen,A05-A14,Female,11
8327,LK Tuttlingen,A15-A34,Male,52
8327,LK Tuttlingen,A15-A34,Female,49
8327,LK Tuttlingen,A15-A34,unbekannt,1
8327,LK Tuttlingen,A35-A59,Male,58
8327,LK Tuttlingen,A35-A59,Female,60
8327,LK Tuttlingen,A60-A79,Male,13
8327,LK Tuttlingen,A60-A79,Female,24
8327,LK Tuttlingen,A80+,Male,7
8327,LK Tuttlingen,A80+,Female,26
8335,LK Konstanz,A00-A04,Male,5
8335,LK Konstanz,A00-A04,Female,7
8335,LK Konstanz,A05-A14,Male,7
8335,LK Konstanz,A05-A14,Female,8
8335,LK Konstanz,A15-A34,Male,106
8335,LK Konstanz,A15-A34,Female,87
8335,LK Konstanz,A15-A34,unbekannt,5
8335,LK Konstanz,A35-A59,Male,109
8335,LK Konstanz,A35-A59,Female,110
8335,LK Konstanz,A35-A59,unbekannt,1
8335,LK Konstanz,A60-A79,Male,40
8335,LK Konstanz,A60-A79,Female,49
8335,LK Konstanz,A60-A79,unbekannt,2
8335,LK Konstanz,A80+,Male,17
8335,LK Konstanz,A80+,Female,25
8336,LK Lörrach,A00-A04,Male,13
8336,LK Lörrach,A00-A04,Female,6
8336,LK Lörrach,A05-A14,Male,12
8336,LK Lörrach,A05-A14,Female,19
8336,LK Lörrach,A15-A34,Male,135
8336,LK Lörrach,A15-A34,Female,166
8336,LK Lörrach,A15-A34,unbekannt,1
8336,LK Lörrach,A35-A59,Male,164
8336,LK Lörrach,A35-A59,Female,201
8336,LK Lörrach,A35-A59,unbekannt,2
8336,LK Lörrach,A60-A79,Male,76
8336,LK Lörrach,A60-A79,Female,67
8336,LK Lörrach,A80+,Male,11
8336,LK Lörrach,A80+,Female,15
8337,LK Waldshut,A00-A04,Female,3
8337,LK Waldshut,A05-A14,Male,12
8337,LK Waldshut,A05-A14,Female,18
8337,LK Waldshut,A05-A14,unbekannt,1
8337,LK Waldshut,A15-A34,Male,74
8337,LK Waldshut,A15-A34,Female,80
8337,LK Waldshut,A35-A59,Male,85
8337,LK Waldshut,A35-A59,Female,92
8337,LK Waldshut,A60-A79,Male,31
8337,LK Waldshut,A60-A79,Female,34
8337,LK Waldshut,A80+,Male,10
8337,LK Waldshut,A80+,Female,14
8415,LK Reutlingen,A00-A04,Male,3
8415,LK Reutlingen,A00-A04,Female,4
8415,LK Reutlingen,A05-A14,Male,20
8415,LK Reutlingen,A05-A14,Female,15
8415,LK Reutlingen,A05-A14,unbekannt,1
8415,LK Reutlingen,A15-A34,Male,148
8415,LK Reutlingen,A15-A34,Female,127
8415,LK Reutlingen,A15-A34,unbekannt,7
8415,LK Reutlingen,A35-A59,Male,150
8415,LK Reutlingen,A35-A59,Female,161
8415,LK Reutlingen,A35-A59,unbekannt,5
8415,LK Reutlingen,A60-A79,Male,58
8415,LK Reutlingen,A60-A79,Female,49
8415,LK Reutlingen,A60-A79,unbekannt,1
8415,LK Reutlingen,A80+,Male,13
8415,LK Reutlingen,A80+,Female,22
8415,LK Reutlingen,unbekannt,Male,6
8415,LK Reutlingen,unbekannt,Female,4
8415,LK Reutlingen,unbekannt,unbekannt,3
8416,LK Tübingen,A00-A04,Male,1
8416,LK Tübingen,A00-A04,Female,7
8416,LK Tübingen,A05-A14,Male,25
8416,LK Tübingen,A05-A14,Female,12
8416,LK Tübingen,A15-A34,Male,78
8416,LK Tübingen,A15-A34,Female,84
8416,LK Tübingen,A35-A59,Male,70
8416,LK Tübingen,A35-A59,Female,73
8416,LK Tübingen,A35-A59,unbekannt,1
8416,LK Tübingen,A60-A79,Male,43
8416,LK Tübingen,A60-A79,Female,39
8416,LK Tübingen,A80+,Male,9
8416,LK Tübingen,A80+,Female,18
8416,LK Tübingen,unbekannt,Male,1
8417,LK Zollernalbkreis,A00-A04,Female,4
8417,LK Zollernalbkreis,A05-A14,Male,15
8417,LK Zollernalbkreis,A05-A14,Female,9
8417,LK Zollernalbkreis,A15-A34,Male,76
8417,LK Zollernalbkreis,A15-A34,Female,56
8417,LK Zollernalbkreis,A35-A59,Male,71
8417,LK Zollernalbkreis,A35-A59,Female,68
8417,LK Zollernalbkreis,A60-A79,Male,31
8417,LK Zollernalbkreis,A60-A79,Female,25
8417,LK Zollernalbkreis,A80+,Male,6
8417,LK Zollernalbkreis,A80+,Female,10
8421,SK Ulm,A00-A04,Male,2
8421,SK Ulm,A00-A04,Female,7
8421,SK Ulm,A05-A14,Male,4
8421,SK Ulm,A05-A14,Female,7
8421,SK Ulm,A05-A14,unbekannt,1
8421,SK Ulm,A15-A34,Male,74
8421,SK Ulm,A15-A34,Female,72
8421,SK Ulm,A15-A34,unbekannt,1
8421,SK Ulm,A35-A59,Male,77
8421,SK Ulm,A35-A59,Female,78
8421,SK Ulm,A35-A59,unbekannt,3
8421,SK Ulm,A60-A79,Male,20
8421,SK Ulm,A60-A79,Female,25
8421,SK Ulm,A80+,Male,14
8421,SK Ulm,A80+,Female,23
8425,LK Alb-Donau-Kreis,A00-A04,Male,1
8425,LK Alb-Donau-Kreis,A00-A04,Female,4
8425,LK Alb-Donau-Kreis,A05-A14,Male,14
8425,LK Alb-Donau-Kreis,A05-A14,Female,8
8425,LK Alb-Donau-Kreis,A05-A14,unbekannt,1
8425,LK Alb-Donau-Kreis,A15-A34,Male,69
8425,LK Alb-Donau-Kreis,A15-A34,Female,61
8425,LK Alb-Donau-Kreis,A15-A34,unbekannt,3
8425,LK Alb-Donau-Kreis,A35-A59,Male,95
8425,LK Alb-Donau-Kreis,A35-A59,Female,96
8425,LK Alb-Donau-Kreis,A35-A59,unbekannt,1
8425,LK Alb-Donau-Kreis,A60-A79,Male,27
8425,LK Alb-Donau-Kreis,A60-A79,Female,34
8425,LK Alb-Donau-Kreis,A80+,Male,17
8425,LK Alb-Donau-Kreis,A80+,Female,42
8425,LK Alb-Donau-Kreis,unbekannt,Male,1
8426,LK Biberach,A00-A04,Female,1
8426,LK Biberach,A05-A14,Male,3
8426,LK Biberach,A05-A14,Female,2
8426,LK Biberach,A15-A34,Male,42
8426,LK Biberach,A15-A34,Female,43
8426,LK Biberach,A35-A59,Male,42
8426,LK Biberach,A35-A59,Female,50
8426,LK Biberach,A60-A79,Male,12
8426,LK Biberach,A60-A79,Female,17
8426,LK Biberach,A80+,Male,6
8426,LK Biberach,A80+,Female,4
8435,LK Bodenseekreis,A00-A04,Female,1
8435,LK Bodenseekreis,A05-A14,Male,13
8435,LK Bodenseekreis,A05-A14,Female,7
8435,LK Bodenseekreis,A15-A34,Male,59
8435,LK Bodenseekreis,A15-A34,Female,69
8435,LK Bodenseekreis,A35-A59,Male,78
8435,LK Bodenseekreis,A35-A59,Female,71
8435,LK Bodenseekreis,A60-A79,Male,17
8435,LK Bodenseekreis,A60-A79,Female,29
8435,LK Bodenseekreis,A80+,Male,4
8435,LK Bodenseekreis,A80+,Female,1
8436,LK Ravensburg,A00-A04,Male,3
8436,LK Ravensburg,A00-A04,Female,1
8436,LK Ravensburg,A05-A14,Male,9
8436,LK Ravensburg,A05-A14,Female,7
8436,LK Ravensburg,A15-A34,Male,78
8436,LK Ravensburg,A15-A34,Female,72
8436,LK Ravensburg,A35-A59,Male,84
8436,LK Ravensburg,A35-A59,Female,88
8436,LK Ravensburg,A60-A79,Male,26
8436,LK Ravensburg,A60-A79,Female,23
8436,LK Ravensburg,A80+,Male,15
8436,LK Ravensburg,A80+,Female,29
8437,LK Sigmaringen,A00-A04,Male,4
8437,LK Sigmaringen,A00-A04,Female,2
8437,LK Sigmaringen,A05-A14,Female,1
8437,LK Sigmaringen,A05-A14,unbekannt,1
8437,LK Sigmaringen,A15-A34,Male,33
8437,LK Sigmaringen,A15-A34,Female,32
8437,LK Sigmaringen,A35-A59,Male,23
8437,LK Sigmaringen,A35-A59,Female,27
8437,LK Sigmaringen,A60-A79,Male,11
8437,LK Sigmaringen,A60-A79,Female,15
8437,LK Sigmaringen,A80+,Male,5
8437,LK Sigmaringen,A80+,Female,2
8437,LK Sigmaringen,unbekannt,Male,1
